nr_escuela_colegio,nr_PAE,fcs,csi_alimentos_menos_preferidos,csi_pedir_prestados_alimentos,csi_reducir_numero_comidas,csi_reducir_tamano_porciones,csi_reducir_adultos,fcs_carne,fcs_vegetales
_,_,35.5,5,4,3,7,3,3,4
1,0,52.5,7,0,7,7,7,0,7
3,1,59.5,3,0,0,2,0,7,2
1,0,52.0,3,0,0,0,5,7,0
1,0,52.0,3,0,0,0,5,7,0
1,0,52.0,3,0,0,0,5,7,0
2,0,72.0,3,0,3,4,0,5,5
2,2,55.0,0,0,0,0,4,7,0
1,1,90.0,2,2,0,3,0,5,5
2,0,41.0,2,0,0,7,7,3,2
1,0,56.5,3,0,0,0,0,4,7
1,0,56.5,3,0,0,0,0,4,7
1,1,66.0,3,0,0,0,0,7,0
1,1,66.0,3,0,0,0,0,7,0
1,1,66.0,3,0,0,0,0,7,0
1,1,54.0,2,0,0,0,0,4,3
3,0,40.0,7,3,0,0,0,2,0
2,0,51.0,3,0,7,7,0,7,0
2,0,51.0,3,0,7,7,0,7,0
2,1,58.0,6,2,4,7,3,7,0
2,2,98.5,4,2,7,0,0,7,1
1,0,63.0,2,1,0,1,0,4,0
_,_,109.0,3,0,4,7,0,7,7
0,_,90.0,7,0,0,0,0,7,6
1,1,58.0,7,0,7,0,0,5,0
2,1,47.0,3,3,4,4,4,2,1
2,1,47.0,3,3,4,4,4,2,1
_,_,62.0,0,0,3,2,0,3,0
3,3,70.0,7,0,0,2,3,7,0
2,0,80.0,2,1,0,0,0,7,7
3,3,51.0,7,0,7,7,7,7,0
_,_,76.5,0,0,0,0,0,7,0
_,_,72.0,0,0,0,0,0,7,7
_,_,95.0,2,0,0,0,0,7,7
_,_,95.0,2,0,0,0,0,7,7
1,0,87.0,0,0,0,0,0,7,0
2,0,105.0,3,5,0,0,0,7,0
2,0,105.0,3,5,0,0,0,7,0
2,1,95.0,7,2,0,0,0,7,7
2,1,95.0,7,2,0,0,0,7,7
2,1,95.0,7,2,0,0,0,7,7
1,0,48.0,5,0,5,7,0,5,0
1,0,85.0,0,0,0,0,0,7,7
4,0,84.0,3,0,5,7,0,7,7
4,4,80.0,0,0,0,0,0,7,0
1,0,46.5,0,2,0,0,0,5,0
1,0,62.0,0,0,0,0,0,7,0
3,2,37.0,2,1,3,4,7,3,0
3,3,30.0,2,2,4,7,7,5,0
0,_,49.5,3,0,2,7,0,2,2
2,2,52.0,1,0,0,2,3,4,1
2,0,70.5,3,0,0,0,0,7,2
4,2,60.0,2,3,2,7,7,7,7
2,1,70.0,5,0,0,4,0,3,0
3,3,63.0,3,2,2,4,5,6,4
3,3,75.0,0,0,0,0,0,7,2
3,3,34.0,7,0,7,6,4,2,2
2,2,73.0,3,0,0,0,0,7,0
4,0,29.0,0,1,3,7,7,1,2
4,1,22.5,1,1,1,4,2,1,0
3,3,87.0,3,3,2,0,3,4,0
2,0,16.0,0,3,7,0,3,0,0
_,_,90.0,3,0,1,0,0,7,0
2,0,88.0,2,2,2,3,3,7,7
_,_,68.0,0,0,0,0,0,7,0
2,0,102.0,7,7,0,7,5,7,6
2,1,62.0,3,6,6,1,3,6,0
2,0,37.0,7,7,7,7,7,4,0
2,2,27.5,3,4,2,7,7,0,0
5,5,44.5,3,0,0,3,0,7,0
1,0,59.0,7,0,2,5,5,5,2
2,2,93.0,2,0,0,0,0,7,7
2,1,42.5,0,4,1,4,6,0,0
4,4,38.0,3,4,7,7,7,4,0
5,5,67.0,0,0,0,3,0,2,0
3,3,19.0,0,1,2,3,4,0,0
4,0,12.0,2,1,2,1,2,1,1
3,3,41.0,5,0,3,0,0,3,0
4,0,50.0,7,2,2,1,3,5,0
1,0,84.0,0,0,0,0,0,7,1
1,1,57.0,3,0,2,5,4,7,1
1,1,62.0,2,0,0,0,3,7,0
2,1,46.5,0,0,7,7,7,7,0
2,2,7.0,2,0,2,0,0,0,0
1,1,27.0,7,7,7,7,7,2,0
1,1,80.5,0,0,0,0,0,7,3
1,1,80.5,0,0,0,0,0,7,3
1,0,50.0,4,2,3,5,2,1,0
1,0,74.0,3,0,3,5,3,7,4
4,0,60.0,1,0,0,0,0,7,1
4,0,60.0,1,0,0,0,0,7,1
3,3,79.5,0,0,0,0,0,7,0
_,_,53.0,3,0,3,4,0,3,1
1,0,77.0,0,0,0,0,0,7,0
3,2,92.5,7,7,0,0,0,6,7
1,1,44.0,1,1,0,2,7,4,0
2,0,58.0,2,0,0,0,0,7,0
2,0,82.5,7,0,7,0,7,7,0
1,1,91.0,0,0,0,0,0,7,7
_,_,39.5,1,0,0,0,0,0,7
2,2,53.0,3,2,3,7,7,7,0
1,1,78.0,7,4,7,7,7,7,7
2,2,94.0,0,0,0,0,0,7,7
0,_,71.0,4,0,3,4,3,3,6
2,0,97.0,0,0,0,0,0,6,7
2,1,76.0,0,0,0,0,0,7,7
2,2,61.5,3,2,3,3,3,7,6
2,2,61.5,3,2,3,3,3,7,6
3,0,31.5,2,1,7,7,7,2,7
2,0,56.0,7,2,1,7,7,7,0
4,4,66.0,5,0,0,0,0,7,7
2,2,50.5,1,0,3,7,7,7,0
2,2,64.0,7,3,7,3,5,7,0
2,1,59.0,0,0,0,0,0,7,4
2,2,55.0,7,0,3,7,7,7,0
1,0,91.0,1,0,0,0,0,7,4
1,0,71.0,0,0,0,0,0,7,0
3,3,30.0,7,0,0,7,0,0,2
1,1,56.0,7,0,0,7,7,5,2
_,_,60.0,3,0,2,3,0,7,2
3,2,69.0,1,0,0,4,0,7,1
0,_,56.0,2,1,5,5,5,7,4
2,0,82.0,7,0,0,0,0,7,3
4,4,95.0,0,0,0,0,0,7,1
3,0,46.0,7,5,2,7,7,4,3
2,1,32.0,0,0,7,7,7,0,0
2,2,9.5,2,0,7,7,7,0,0
2,0,28.5,5,0,2,5,7,5,0
1,1,72.0,5,3,2,4,5,7,4
1,0,21.0,0,0,7,7,7,0,0
1,0,64.0,3,2,3,3,3,6,0
2,0,82.0,3,0,7,7,7,7,0
2,0,29.0,4,2,3,3,2,1,0
1,0,27.5,4,0,0,0,0,0,0
_,_,67.0,7,2,7,7,0,6,0
4,1,80.0,2,0,0,0,0,7,0
1,1,52.0,0,0,1,0,0,4,0
_,_,54.0,5,4,5,7,7,3,0
0,_,62.0,7,7,7,7,7,5,0
0,_,82.0,4,0,0,2,0,7,7
1,1,59.0,3,0,0,0,0,7,7
2,1,78.0,7,0,0,7,7,7,0
2,0,52.0,0,0,0,0,0,7,0
2,0,34.0,7,2,7,0,0,3,1
0,_,64.0,0,0,0,2,2,7,7
_,_,62.0,1,0,0,2,0,7,7
2,2,74.0,0,0,0,0,0,7,0
3,2,44.5,1,2,1,7,7,2,7
3,0,70.0,7,3,3,7,2,7,0
3,0,50.0,5,5,0,6,5,5,0
_,_,49.0,0,0,3,4,0,3,0
0,_,85.5,0,0,0,0,0,5,6
3,3,110.0,7,0,5,5,7,7,7
1,1,80.0,7,0,0,0,0,7,5
2,0,61.0,7,0,3,0,7,7,2
2,1,63.5,0,0,0,0,4,7,7
_,_,92.0,7,0,0,7,0,7,7
_,_,52.0,0,0,0,0,0,3,7
1,0,52.0,7,0,0,1,0,7,0
4,4,65.0,0,0,0,0,0,3,0
_,_,39.0,5,2,0,4,0,1,1
_,_,69.0,4,0,0,0,0,7,7
3,2,49.0,7,3,7,7,7,7,0
2,2,89.0,2,0,0,5,5,7,0
_,_,37.0,1,0,0,2,0,2,1
2,1,84.0,3,3,4,3,3,7,3
1,1,17.0,5,1,2,7,2,0,1
2,2,28.0,7,4,4,4,4,0,0
1,1,55.0,7,2,7,5,7,5,2
1,1,28.0,3,3,3,4,5,0,0
_,_,37.0,1,0,1,2,1,2,1
1,1,77.0,0,0,0,2,0,7,3
3,1,89.0,1,0,1,0,3,7,7
4,0,96.0,7,0,0,7,7,7,5
_,_,61.0,2,0,0,0,0,4,7
4,0,23.0,3,3,3,2,3,0,0
2,2,60.0,3,0,2,3,3,4,2
4,4,83.0,7,3,7,7,5,7,0
3,3,69.0,3,0,1,1,1,7,0
2,2,6.5,2,1,7,7,7,0,0
3,3,73.5,0,0,7,0,7,7,0
2,1,77.0,2,2,0,0,0,7,0
2,0,54.5,3,2,7,4,7,4,0
2,2,49.0,0,0,0,3,3,4,0
2,2,54.0,3,1,0,7,7,7,2
1,1,63.0,6,0,0,0,0,7,0
2,2,54.0,0,0,0,0,0,4,4
3,2,67.0,3,0,2,0,0,4,7
2,1,35.0,7,0,0,7,7,0,7
2,2,27.0,0,0,0,0,0,2,0
1,1,53.5,7,0,0,0,0,1,3
2,0,78.0,1,1,0,0,2,4,7
1,0,24.0,2,7,7,7,7,0,0
3,3,32.5,3,7,7,7,7,2,3
2,0,39.0,3,2,2,5,4,3,0
2,2,80.0,3,0,3,2,5,7,0
3,3,60.5,5,4,7,7,7,5,3
2,2,71.0,7,7,7,7,7,3,2
2,2,77.0,6,0,0,0,7,7,1
2,2,52.0,7,4,7,7,7,7,0
3,0,29.0,7,7,7,7,7,1,1
2,0,80.0,7,0,4,0,0,7,0
1,0,46.5,2,2,3,3,5,3,0
3,2,68.0,7,0,7,7,7,7,3
2,1,56.0,2,0,0,0,1,5,0
3,1,39.5,4,4,5,7,0,2,0
1,1,39.0,7,7,7,7,7,2,0
2,0,29.0,7,0,2,2,3,2,0
2,0,37.0,0,0,0,0,0,3,1
